,anime_id,title,type,source,episodes,rating,score,producer,studio,genre,release_season,is_licensed,nr_synonyms,min_duration,op_artists,ed_artists
0,11013,Inu x Boku SS,TV,Manga,12,PG-13 - Teens 13 or older,7.63,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Inu x Boku SS Production Partners",David Production,"Comedy, Supernatural, Romance, Shounen",Winter,True,1,24.0,MUCC,"MUCC,:, Ririchiyo Shirakiin (Rina Hidaka),:, Kagerou Shoukiin (Tomokazu Sugita),:, Renshou Sorinozuka (Yoshimasa Hosoya) & Nobara Yukinokouji (Youko Hikasa)"
1,2104,Seto no Hanayome,TV,Manga,26,PG-13 - Teens 13 or older,7.89,"TV Tokyo, AIC, Square Enix, Sotsu",Gonzo,"Comedy, Parody, Romance, School, Shounen",Spring,True,1,24.0,SUN&LUNAR,"Asuka Hinoi (1-13, 26)"
2,5262,Shugo Chara!! Doki,TV,Manga,51,PG - Children,7.55,"TV Tokyo, Sotsu",Satelight,"Comedy, Magic, School, Shoujo",Fall,True,2,24.0,"Shugo Chara Egg,:, Guardians 4","Buono!,:, Buono!"
3,721,Princess Tutu,TV,Original,38,PG-13 - Teens 13 or older,8.21,"Memory-Tech, GANSIS, Marvelous AQL",Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy",Summer,True,0,16.0,Ritsuko Okazaki,Ritsuko Okazaki
4,12365,Bakuman. 3rd Season,TV,Manga,25,PG-13 - Teens 13 or older,8.67,"NHK, Shueisha",J.C.Staff,"Comedy, Drama, Romance, Shounen",Fall,True,1,24.0,nano.RIPE,"Sphere,:, nano.RIPE"
5,6586,Yume-iro Pâtissière,TV,Manga,50,G - All Ages,8.03,"Yomiuri Telecasting, DAX Production, Shueisha","Studio Pierrot, Studio Hibari","Kids, School, Shoujo",Fall,False,4,24.0,Mayumi Gojou,Yukina Sugihara
6,178,Ultra Maniac,TV,Manga,26,G - All Ages,7.26,"WAO World, Studio Jack",Production Reed,"Magic, Comedy, Romance, School, Shoujo",Spring,True,0,24.0,can/goo,can/goo
7,2787,Shakugan no Shana II (Second),TV,Light novel,24,PG-13 - Teens 13 or older,7.72,"Geneon Universal Entertainment, ASCII Media Works",J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural",Fall,True,1,24.0,Mami Kawada,"Kawada Mami,:, Kawada Mami"
8,4477,Nodame Cantabile: Paris-hen,TV,Manga,11,PG-13 - Teens 13 or older,8.24,"Fuji TV, Asmik Ace Entertainment, Sony Music Entertainment",J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei",Fall,False,2,23.0,The Gospellers,Emiri Miyamoto x Solita
9,853,Ouran Koukou Host Club,TV,Manga,26,PG-13 - Teens 13 or older,8.34,"VAP, Hakusensha, Nippon Television Network",Bones,"Comedy, Harem, Romance, School, Shoujo",Spring,True,4,23.0,Chieko Kawabe,Last Alliance
10,4814,Junjou Romantica 2,TV,Manga,12,PG-13 - Teens 13 or older,8.15,"Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !!",Studio Deen,"Comedy, Drama, Romance, Shounen Ai",Fall,True,2,24.0,Pigstar,JUNED
11,7054,Kaichou wa Maid-sama!,TV,Manga,26,PG-13 - Teens 13 or older,8.2,"Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio",J.C.Staff,"Comedy, Romance, School, Shoujo",Spring,True,1,24.0,Saaya Mizuno (水野佐彩),heidi.
12,11123,Sekaiichi Hatsukoi 2,TV,Manga,12,PG-13 - Teens 13 or older,8.23,"Lantis, Kadokawa Shoten, AT-X, KlockWorx",Studio Deen,"Comedy, Drama, Romance, Shounen Ai",Fall,True,2,24.0,Shuhei Kita,Sakura Merry-Men
13,14227,Tonari no Kaibutsu-kun,TV,Manga,13,PG-13 - Teens 13 or older,7.71,"TV Tokyo, Aniplex, Nihon Ad Systems, Kodansha",Brain&#039;s Base,"Slice of Life, Comedy, Romance, School, Shoujo",Fall,True,3,24.0,Haruka Tomatsu,9nine
14,269,Bleach,TV,Manga,366,PG-13 - Teens 13 or older,7.9,"TV Tokyo, Aniplex, Dentsu, TV Tokyo Music, Studio Kelmadick, Shueisha",Studio Pierrot,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",Fall,True,0,24.0,"Orange Range,:, High and Mighty Color,:, YUI,:, Asian Kung-Fu Generation,:, Aqua Timez,:, Porno Graffitti,:, SID,:, Scandal","Rie Fu,:, Younha,:, YUI,:, Ikimonogakari,:, Mai Hoshimura,:, chatmonchy,:, RSP a.k.a Real Street Project,:, pe&#039;zmoku,:, Tsuji Shion,:, Kenichi Asai,:, RSP,:, universe,:, ROOKiEZ is PUNK’D,:, UNLIMITS,:, Aqua Timez"
15,59,Chobits,TV,Manga,26,PG-13 - Teens 13 or older,7.53,"TBS, Pioneer LDC",Madhouse,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",Spring,True,0,24.0,ROUND TABLE feat. Nino,"Rie Tanaka,:, Rie Tanaka and Tomokazu Sugita"
16,6045,Kimi ni Todoke,TV,Manga,25,PG-13 - Teens 13 or older,8.13,"VAP, Nippon Television Network, Shueisha",Production I.G,"Slice of Life, Drama, Romance, School, Shoujo",Fall,True,1,22.0,Tanizawa Tomofumi,Chara
17,1735,Naruto: Shippuuden,TV,Manga,500,PG-13 - Teens 13 or older,8.18,"TV Tokyo, Aniplex, KSS, Rakuonsha, TV Tokyo Music, Shueisha",Studio Pierrot,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Winter,True,1,23.0,"Nobodyknows+,:, Ikimonogakari,:, Ikimonogakari,:, Motohiro Hata,:, 7!!,:, THE CRO-MAGNONS,:, NICO Touches the Walls,:, DOES,:, Yamazaru,:, Asian Kung-Fu Generation","HOME MADE Kazoku,:, MATCHY with QUESTION?,:, Nico Touches the Walls,:, DEV PARADE,:, SEAMO,:, AZU,:, supercell,:, Aqua Timez,:, OKAMOTO&#039;S,:, Hemenway,:, AISHA feat. CHEHON,:, 7!!,:, Rake,:, Shinkuu Horou (真空ホロウ),:, SHUN,:, Diana Garnet,:, FLOW,:, Thinking Dogs,:, Kuroneko Chelsea,:, Ayumikurikamaki"
18,210,Ranma ½,TV,Manga,161,R+ - Mild Nudity,7.85,"Shogakukan Productions, Kitty Films, Fuji TV, Shogakukan",Studio Deen,"Slice of Life, Comedy, Martial Arts, Fantasy",Spring,True,2,24.0,"Etsuko Nishio,:, CoCo,:, KUSUKUSU,:, VisioN","Kaori Sakagami,:, Etsuko Nishio,:, Tokyo Shounen,:, Michiyo Nakajima,:, Piyo Piyo"
19,4224,Toradora!,TV,Light novel,25,PG-13 - Teens 13 or older,8.39,"Genco, Starchild Records, Magic Capsule, Yomiuri Advertising, TV Tokyo Music",J.C.Staff,"Slice of Life, Comedy, Romance, School",Fall,True,1,24.0,"Rie Kugimiya, Yui Horie, and Eri Kitamura","Yui Horie,:, Rie Kugimiya and Eri Kitamura"
20,10030,Bakuman. 2nd Season,TV,Manga,25,PG-13 - Teens 13 or older,8.49,"NHK, Shueisha",J.C.Staff,"Comedy, Drama, Romance, Shounen",Fall,True,1,24.0,Shohei Itou (伊藤祥平),"Tommy heavenly6,:, Shohei Itou (伊藤祥平)"
21,74,Gakuen Alice,TV,Manga,26,G - All Ages,7.77,"Aniplex, Sogo Vision",Group TAC,"Comedy, School, Shoujo, Super Power",Fall,True,2,25.0,"Ueda, Kana",Ueda Kana & Kugimiya Rie
22,4722,Skip Beat!,TV,Manga,25,PG-13 - Teens 13 or older,8.24,"Sotsu, Pony Canyon, Hakusensha, TV Tokyo Music",Hal Film Maker,"Comedy, Drama, Romance, Shoujo",Fall,True,0,24.0,the generous,"2BACKKA,:, the generous"
23,14397,Chihayafuru 2,TV,Manga,25,PG-13 - Teens 13 or older,8.47,"VAP, Nippon Television Network",Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports",Winter,True,1,22.0,99RadioService,Asami Seto
24,1557,Shounen Onmyouji,TV,Light novel,26,PG-13 - Teens 13 or older,7.68,"Sotsu, Marine Entertainment",Studio Deen,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo",Fall,True,3,23.0,Kaori Hikita,Saori Kiuji
25,10800,Chihayafuru,TV,Manga,25,PG-13 - Teens 13 or older,8.29,"VAP, Nippon Television Network",Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports",Fall,True,1,22.0,99RadioService,Asami Seto
26,3731,Itazura na Kiss,TV,Manga,25,PG-13 - Teens 13 or older,7.7,"Bandai Visual, Trinity Sound",TMS Entertainment,"Comedy, Romance, Shoujo",Spring,True,5,24.0,Motohiro Hata,"GO!GO!7188,:, Motohiro Hata"
